date,real_price,real_dividend,real_earnings
1871.01,97.25,5.69,8.76
1871.02,95.64,5.53,8.50
1871.03,96.55,5.45,8.38
1871.04,103.03,5.65,8.69
1871.05,108.10,5.78,8.90
1871.06,108.90,5.87,9.04
1871.07,106.87,5.87,9.04
1871.08,109.95,5.97,9.18
1871.09,108.50,5.83,8.97
1871.10,101.31,5.74,8.83
1871.11,102.41,5.74,8.83
1871.12,102.26,5.61,8.63
1872.01,104.85,5.68,8.68
1872.02,105.28,5.75,8.74
1872.03,107.12,5.74,8.66
1872.04,107.70,5.68,8.52
1872.05,107.70,5.75,8.58
1872.06,107.44,5.86,8.69
1872.07,108.40,6.02,8.87
1872.08,106.33,6.05,8.86
1872.09,103.67,6.07,8.85
1872.10,106.42,6.28,9.10
1872.11,102.92,6.17,8.89
1872.12,106.97,6.33,9.07
1873.01,107.81,6.38,9.12
1873.02,106.31,6.30,8.98
1873.03,105.48,6.35,9.03
1873.04,104.04,6.40,9.08
1873.05,106.54,6.59,9.34
1873.06,108.25,6.85,9.67
1873.07,108.03,6.90,9.73
1873.08,108.03,6.96,9.78
1873.09,99.77,7.01,9.84
1873.10,93.20,7.23,10.12
1873.11,92.74,7.52,10.50
1873.12,99.08,7.40,10.31
1874.01,102.85,7.28,10.15
1874.02,105.94,7.28,10.15
1874.03,104.40,7.28,10.15
1874.04,103.12,7.40,10.31
1874.05,101.22,7.46,10.39
1874.06,103.20,7.64,10.64
1874.07,102.38,7.57,10.56
1874.08,103.43,7.64,10.64
1874.09,105.05,7.64,10.64
1874.10,106.54,7.76,10.82
1874.11,108.37,7.83,10.91
1874.12,107.66,7.83,10.91
1875.01,107.66,7.77,10.71
1875.02,107.42,7.71,10.51
1875.03,108.84,7.65,10.32
1875.04,109.36,7.53,10.04
1875.05,107.78,7.66,10.09
1875.06,107.42,7.73,10.05
1875.07,107.66,7.66,9.85
1875.08,107.23,7.54,9.56
1875.09,107.17,7.54,9.44
1875.10,105.45,7.48,9.24
1875.11,108.09,7.48,9.11
1875.12,109.03,7.49,8.98
1876.01,112.26,7.55,8.89
1876.02,113.77,7.55,8.73
1876.03,113.51,7.55,8.56
1876.04,110.20,7.62,8.46
1876.05,110.03,7.90,8.60
1876.06,112.34,8.12,8.66
1876.07,110.98,8.12,8.48
1876.08,105.39,8.04,8.22
1876.09,98.03,7.97,7.97
1876.10,95.73,7.83,7.65
1876.11,93.06,7.75,7.41
1876.12,90.90,7.62,7.11
1877.01,88.57,7.26,7.03
1877.02,85.57,7.22,7.26
1877.03,85.01,7.31,7.64
1877.04,76.69,6.87,7.48
1877.05,75.32,6.51,7.39
1877.06,73.90,6.63,7.85
1877.07,76.43,6.32,7.82
1877.08,84.97,6.32,8.17
1877.09,91.14,6.12,8.30
1877.10,93.11,5.86,8.35
1877.11,93.54,5.72,8.56
1877.12,93.25,5.45,8.61
1878.01,96.14,5.60,8.90
1878.02,95.05,5.63,9.02
1878.03,98.90,5.72,9.23
1878.04,102.74,5.76,9.36
1878.05,106.48,5.92,9.70
1878.06,111.19,6.03,9.94
1878.07,112.19,5.94,9.86
1878.08,109.99,5.84,9.78
1878.09,112.22,5.82,9.80
1878.10,112.19,5.86,9.94
1878.11,113.14,5.90,10.08
1878.12,115.11,6.01,10.34
1879.01,118.07,5.99,10.42
1879.02,120.97,5.98,10.49
1879.03,120.38,6.10,10.80
1879.04,125.78,6.23,11.12
1879.05,131.45,6.28,11.32
1879.06,133.68,6.41,11.65
1879.07,134.79,6.40,11.70
1879.08,135.79,6.45,11.90
1879.09,136.05,6.29,11.69
1879.10,142.86,6.00,11.24
1879.11,142.89,5.75,10.85
1879.12,138.40,5.63,10.69
1880.01,139.64,5.60,10.64
1880.02,142.10,5.74,10.88
1880.03,143.47,5.82,11.03
1880.04,145.72,6.19,11.72
1880.05,138.25,6.52,12.34
1880.06,141.69,6.80,12.87
1880.07,148.20,6.95,13.14
1880.08,153.52,7.10,13.41
1880.09,151.66,7.17,13.54
1880.10,156.06,7.32,13.81
1880.11,162.59,7.39,13.94
1880.12,167.57,7.46,14.06
1881.01,179.40,7.68,14.08
1881.02,177.04,7.75,13.82
1881.03,179.04,7.89,13.70
1881.04,176.71,7.95,13.45
1881.05,186.51,8.18,13.46
1881.06,188.80,8.32,13.34
1881.07,180.40,8.38,13.09
1881.08,172.72,8.36,12.72
1881.09,167.60,8.18,12.13
1881.10,163.39,8.24,11.91
1881.11,165.99,8.45,11.91
1881.12,161.16,8.58,11.80
1882.01,158.75,8.58,11.78
1882.02,153.83,8.50,11.64
1882.03,153.56,8.50,11.62
1882.04,152.15,8.42,11.50
1882.05,148.94,8.35,11.37
1882.06,146.83,8.27,11.24
1882.07,156.51,8.35,11.33
1882.08,159.75,8.27,11.20
1882.09,165.78,8.50,11.49
1882.10,162.77,8.58,11.58
1882.11,157.27,8.66,11.66
1882.12,159.59,8.74,11.75
1883.01,158.77,8.77,11.68
1883.02,153.75,8.71,11.50
1883.03,157.13,8.81,11.55
1883.04,161.95,8.92,11.59
1883.05,160.74,9.03,11.63
1883.06,166.99,9.33,11.91
1883.07,167.77,9.54,12.08
1883.08,160.16,9.57,12.00
1883.09,163.58,9.69,12.05
1883.10,159.14,9.71,11.98
1883.11,163.19,9.84,12.03
1883.12,157.96,9.76,11.83
1884.01,153.23,9.71,11.61
1884.02,157.37,9.66,11.39
1884.03,156.78,9.61,11.17
1884.04,152.83,9.76,11.18
1884.05,143.47,9.93,11.18
1884.06,137.60,9.87,10.95
1884.07,139.10,9.93,10.84
1884.08,147.83,9.88,10.60
1884.09,144.73,9.93,10.48
